Athlete Name,Total_Run_Distance_km,Avg_Weekly_Run_Mileage_km,Total_Run_Hours,Avg_Weekly_Run_Hours,Total_Ride_Hours,Total_Swim_Hours,Total_Other_Hours,Competitor,Nat,Gender,Mark,Discipline,Number_of_events,Avg_Run_Pace_min_per_km,2024 Weeks Scraped,Athlete ID
AARON AHL,4941.9290852,109.8206463377778,370.0961111111111,8.224358024691357,0.0,0.0,0.0,Aaron Ahl,CAN,Male,8:28.00,3000m Steeple,1,4.493339803917481,45,26712504
ABBY NICHOLS,3462.012208,76.93360462222222,274.9291666666667,6.109537037037037,0.0,0.0,0.6877777777777778,Abby Nichols,USA,Female,4:12.78|15:03.17,1500m|5000m,2,4.764786779746676,45,49240561
ABDIHAMID NUR,44.7759194,0.995020431111111,2.8666666666666667,0.0637037037037037,0.0,0.0,0.0,Abdihamid Nur,USA,Male,3:35.63|13:03.17|27:17.28,1500m|5000m|10000m,3,3.8413504916216192,45,44007546
ABDURRAHMAN GEDIKLIOĞLU,2389.306631,53.09570291111111,127.6425,2.8365,0.0,0.0,0.0,Abdurrahman Gediklioğlu,TUR,Male,3:39.13,1500m,1,3.2053441365098694,45,29394594
ABEL TEFFRA,1887.0959906,41.93546645777778,133.07472222222222,2.957216049382716,0.1844444444444444,0.0,0.0,Abel Teffra,USA,Male,3:36.52,1500m,1,4.231095489103698,45,74623854
ADAM CLARKE,1084.66,20.86,98.67,1.9,140.76,0.0,0.0,Adam Clarke,GBR,Male,1:01:54,Half,1,5.46,52,985439
ADAM FOGG,4889.67,94.03,343.29,6.6,0.0,0.0,0.0,Adam Fogg,GBR,Male,3:34.37|13:17.08,1500m|5000m,2,4.21,52,4814818
ADAM SPENCER,4087.5304792,90.83401064888888,297.2605555555556,6.60579012345679,0.0,0.0,0.0,Adam Spencer,AUS,Male,1:47.13|3:34.45,800m|1500m,2,4.363425159541336,45,46643128
AGATHE DELAHOUTRE,1923.7084756,42.74907723555555,159.82222222222222,3.551604938271605,0.0,0.0,0.0,Agathe Delahoutre,FRA,Female,2:02.97,800m,1,4.984816283216949,45,48454776
AHMED OUHDA,132.2,2.937777777777778,8.526944444444444,0.1894876543209876,0.0,0.0,0.0,Ahmed Ouhda,ITA,Male,28:18.92|2:13:00,10000m|Full,2,3.870020171457388,45,27102390
AIDAN RYAN,1633.8341548,36.30742566222222,114.25888888888888,2.5390864197530862,0.0,0.0,0.0,Aidan Ryan,USA,Male,3:40.17,1500m,1,4.1959787125227095,45,33433081
AIDEN COLES,490.9130736,10.909179413333334,32.17722222222222,0.7150493827160493,0.0,0.0,0.0,Aiden Coles,CAN,Male,3:40.36,1500m,1,3.932739699058064,45,60077877
ALEC BASTEN,3137.9072254,69.73127167555555,233.32722222222225,5.185049382716049,0.0,0.0,0.0,Alec Basten,USA,Male,8:19.96,3000m Steeple,1,4.461455463059062,45,74184450
ALESSANDRO LOTTA,1751.8148702,38.92921933777778,126.72805555555556,2.816179012345679,0.0,0.0,0.0,Alessandro Lotta,ITA,Male,3:40.42,1500m,1,4.340460549044912,45,23984087
ALEX MELLOY,1883.4427888,41.85428419555556,130.25222222222223,2.894493827160494,0.0,0.0,0.0,Alex Melloy,GBR,Male,3:38.74,1500m,1,4.149387164721153,45,9996058
ALEX PHILLIP,19.31208,0.4291573333333334,1.2166666666666666,0.027037037037037,0.0,0.0,0.0,Alex Phillip,USA,Male,13:27.83|27:51.26,5000m|10000m,2,3.780017481286324,45,46492412
ALEXANDER KORCZYNSKI,3487.4719668,77.49937704,248.11083333333335,5.513574074074074,3.620833333333333,0.0,0.0,Alexander Korczynski,USA,Male,8:29.42,3000m Steeple,1,4.268607788598096,45,46514749
ALEXIS MIELLET,483.8319776,10.751821724444444,31.02611111111111,0.6894691358024692,1.1666666666666667,0.0,1.05,Alexis Miellet,FRA,Male,3:40.09|8:14.01,1500m|3000m Steeple,2,3.84754781174403,45,10816005
ALLIE BUCHALSKI,3027.2007268,67.27112726222222,244.52083333333337,5.433796296296297,3.466666666666667,0.0,4.663888888888889,Allie Buchalski,USA,Female,4:08.86|15:01.75,1500m|5000m,2,4.846474127108418,45,40799987
ALLIE WILSON,289.68,6.437333333333333,29.413611111111113,0.6536358024691359,0.0,0.0,20.863888888888887,Allie Wilson,USA,Female,1:57.52|4:11.78,800m|1500m,2,6.0922972475375134,45,112847410
AMANDA VESTRI,22.78,0.5062222222222222,3.735833333333334,0.0830185185185185,0.0,0.0,0.0,Amanda Vestri,USA,Female,15:13.38|31:10.53,5000m|10000m,2,9.839771729587357,45,131800350
ANDREW BUTCHART,446.97,9.932666666666666,31.638333333333335,0.7030740740740741,69.50138888888888,0.0,0.0,Andrew Butchart,GBR,Male,13:30.25,5000m,1,4.247041188446652,45,28572286
ANDREW CASEY,280.62,6.236,19.83194444444445,0.4407098765432099,0.0,0.0,0.6677777777777778,Andrew Casey,USA,Male,1:47.41,800m,1,4.240313116195092,45,95191578
ANDREW COSCORAN,264.28581479999997,5.873018106666666,17.9575,0.3990555555555555,0.0,0.0,0.0,Andrew Coscoran,IRL,Male,3:32.68|13:12.56,1500m|5000m,2,4.076836287317832,45,93495409
ANDREW HUNTER,4.04,0.08,0.02,0.0,173.59,0.0,0.0,Andrew Hunter,USA,Male,3:33.78|13:08.57|27:38.87,1500m|5000m|10000m,3,0.31,52,3315425
ANGELINA ELLIS,3422.9213394,76.06491865333334,266.1286111111111,5.9139691358024695,0.0,0.0,0.0,Angelina Ellis,USA,Female,4:08.59|9:25.25,1500m|3000m Steeple,2,4.6649382452550405,45,23435662
ANGUS HARRINGTON,2577.8890922,57.28642427111111,186.34472222222223,4.140993827160494,1.9666666666666663,0.0,11.133333333333333,Angus Harrington,GBR,Male,1:47.33,800m,1,4.337146763669189,45,12553443
ANNA GIBSON,1467.4123054,32.60916234222222,129.37444444444444,2.8749876543209876,95.67111111111112,0.0,64.45222222222222,Anna Gibson,USA,Female,4:08.06,1500m,1,5.289901575788344,45,57973023
ANNE LUIJTEN,2174.8781694,48.33062598666667,159.42916666666667,3.5428703703703706,38.19722222222222,0.0,2.033333333333333,Anne Luijten,NED,Female,1:10:39|2:28:47,Half|Full,2,4.39829234326214,45,29901048
ANNEMARIE NISSEN,661.0685918,14.690413151111112,48.41777777777778,1.0759506172839506,0.0,0.0,0.0,Annemarie Nissen,DEN,Female,2:00.26,800m,1,4.394501119402094,45,125720171
ANNIE RODENFELS,3905.3692846,86.78598410222222,276.50888888888886,6.144641975308641,2.0,0.0,1.6875,Annie Rodenfels,USA,Female,4:07.33|9:22.66|15:13.30|32:33.73,1500m|3000m Steeple|5000m|10000m,4,4.2481343310489486,45,15124771
ANTHONY CAMERIERI,2264.9690226,50.33264494666666,161.11388888888888,3.5803086419753085,94.01916666666666,0.0,2.95,Anthony Camerieri,USA,Male,3:39.41|13:23.61,1500m|5000m,2,4.267975957674068,45,37392546
ARTHUR GERVAIS,3767.5132202,83.72251600444444,268.4769444444444,5.966154320987654,2.426388888888889,0.0,3.9,Arthur Gervais,FRA,Male,3:35.86|13:27.25,1500m|5000m,2,4.275662944007276,45,14187429
ATHANAS KIOKO,1442.451442,32.05447648888889,102.6425,2.280944444444444,35.22944444444445,0.0,0.0,Athanas Kioko,KEN,Male,13:18.44|27:32.29,5000m|10000m,2,4.2695024738309355,45,99220051
AUSTIN VANCIL,1492.86,28.71,110.38,2.12,3.95,0.0,0.0,Austin Vancil,USA,Male,28:16.49,10000m,1,4.44,52,6906691
AZEDDINE HABZ,1417.506672,31.500148266666667,100.19416666666666,2.226537037037037,0.5780555555555555,0.0,0.0,Azeddine Habz,FRA,Male,1:43.79|3:30.80,800m|1500m,2,4.241002965804735,45,19780474
BALDVIN MAGNUSSON,6899.66,132.69,476.83,9.17,7.06,0.0,0.0,Baldvin Magnusson,ISL,Male,3:39.90|13:20.34,1500m|5000m,2,4.15,52,3672145
BAPTISTE FOURMONT,1333.7888052,29.639751226666668,102.62277777777776,2.280506172839506,15.712777777777776,0.0,39.188611111111115,Baptiste Fourmont,FRA,Male,8:18.91,3000m Steeple,1,4.616448003357905,45,15195661
BAPTISTE GUYON,2695.1295112,59.89176691555555,194.8622222222222,4.330271604938272,22.45,0.0,28.49861111111111,Baptiste Guyon,FRA,Male,3:37.60|8:29.48|13:28.67,1500m|3000m Steeple|5000m,3,4.33809703197811,45,21547435
BASTIEN AUGUSTO,6332.89,121.79,432.03,8.31,111.08,0.0,0.0,Bastien Augusto,FRA,Male,3:35.25|13:16.85|1:00:18,1500m|5000m|Half,3,4.09,52,6816684
BEN NAGEL,111.5111686,2.478025968888889,6.685,0.1485555555555555,5.85,0.0,2.3333333333333335,Ben Nagel,USA,Male,1:47.38,800m,1,3.596949122098968,45,32496631
BEN PATTISON,2469.5805102,54.87956689333333,181.83194444444445,4.04070987654321,0.0,0.0,0.0,Ben Pattison,GBR,Male,1:42.27,800m,1,4.417720589227975,45,32795912
BEN PERRIN,866.9031778,19.264515062222223,89.55166666666666,1.990037037037037,33.77333333333333,0.0,140.47555555555556,Ben Perrin,USA,Male,13:30.73|28:09.73,5000m|10000m,2,6.19803934002836,45,26948702
BEN PREISNER,3604.5514518,80.10114337333333,235.30944444444444,5.229098765432099,0.0,0.0,12.859166666666669,Ben Preisner,CAN,Male,2:08:58,Full,1,3.916872003482235,45,22274135
BENJAMIN ALLEN,4797.0241116,106.60053581333332,355.9266666666667,7.909481481481482,0.0,0.0,1.1666666666666667,Benjamin Allen,USA,Male,1:46.21|3:37.71,800m|1500m,2,4.451843372719061,45,43503052
BENJAMIN CHOQUERT,2646.6,50.9,181.78,3.5,87.45,0.0,0.0,Benjamin Choquert,FRA,Male,1:02:06,Half,1,4.12,52,1837113
BETHWEL KIBET,504.27,11.206,37.30166666666667,0.828925925925926,0.0,0.0,0.0,Bethwel Kibet,KEN,Male,2:06:26,Full,1,4.438296944097409,45,146854303
BOBBY POYNTER,3660.0736818,81.33497070666667,267.0813888888889,5.9351419753086425,0.0,0.0,0.0,Bobby Poynter,USA,Male,1:46.75,800m,1,4.3782952821464525,45,64218328
BONIFACE KIBIWOTT,2417.4057074,53.72012683111112,165.27583333333334,3.672796296296296,0.0,0.0,0.0,Boniface Kibiwott,KEN,Male,2:10:06,Full,1,4.102145523047341,45,60508941
BRANDON MILLER,3959.7971634,87.99549252,344.4563888888889,7.654586419753087,16.054444444444442,0.0,6.383333333333333,Brandon Miller,USA,Male,1:43.73|3:40.11,800m|1500m,2,5.219303535130497,45,9559332
BREANNA SIERACKI,3065.8892604,68.13087245333332,241.8202777777778,5.373783950617284,2.6666666666666665,0.0,5.446944444444444,Breanna Sieracki,USA,Female,1:10:55,Half,1,4.7324659941480345,45,34130726
BRENDA JEPCHIRCHIR,806.41,17.920222222222222,59.79861111111111,1.328858024691358,0.0,0.0,0.0,Brenda Jepchirchir,KEN,Female,1:09:45,Half,1,4.449246247773051,45,146708596
BRETT GARDNER,525.2724826,11.672721835555556,36.18611111111111,0.8041358024691357,0.0,0.0,0.0,Brett Gardner,USA,Male,8:27.55,3000m Steeple,1,4.133410255796763,45,43139783
BRETT ROBINSON,5310.32,102.12,368.2,7.08,1.75,0.0,0.0,Brett Robinson,AUS,Male,1:01:27,Half,1,4.16,52,6193172
BRIAN FAY,43.0981252,0.9577361155555556,2.4286111111111115,0.0539691358024691,0.0,0.0,0.0,Brian Fay,IRL,Male,3:37.73|13:14.97|27:43.45,1500m|5000m|10000m,3,3.38104420993855,45,24660297
BRIAN KIPTOO,3172.0252334,70.48944963111111,240.7111111111111,5.349135802469136,0.0,0.0,0.0,Brian Kiptoo,KEN,Male,13:24.15,5000m,1,4.553137381945098,45,131178025
BRIAN KIPTUM,446.2,9.915555555555557,50.230555555555554,1.1162345679012344,0.0,0.0,0.0,Brian Kiptum,KEN,Male,1:46.79,800m,1,6.754444942477215,45,48092419
BRUNO PIERRU,2034.55,39.13,163.19,3.14,31.49,0.0,0.0,Bruno Pierru,FRA,Male,3:39.81,1500m,1,4.81,52,3875855
CADEN NORRIS,881.1458368,19.581018595555555,76.68194444444444,1.704043209876543,2.6391666666666667,0.0,4.355,Caden Norris,USA,Male,1:47.13,800m,1,5.221515525029904,45,129872301
CALLUM DAVIES,1080.269475,24.005988333333335,73.32916666666667,1.629537037037037,0.0,0.0,0.0,Callum Davies,AUS,Male,3:35.14,1500m,1,4.0728263658472805,45,18766100
CALLUM ELSON,2199.002176,48.86671502222222,154.7411111111111,3.438691358024691,1.0363888888888888,0.0,0.0,Callum Elson,GBR,Male,3:38.12,1500m,1,4.222127093823607,45,52417936
CAMDEN GILMORE,3416.9667814,75.93259514222223,241.10055555555556,5.35779012345679,0.0,0.0,0.0,Camden Gilmore,USA,Male,3:38.49,1500m,1,4.2335891036688125,45,39909333
CAMERON AVERY,4362.8241796,96.95164843555555,315.5686111111111,7.012635802469136,9.505,0.0,7.1416666666666675,Cameron Avery,NZL,Male,2:10:53,Full,1,4.339876164434987,45,36628860
CAMERON LEVINS,1123.5446276,24.96765839111111,70.65277777777777,1.5700617283950615,0.0,0.0,0.0,Cameron Levins,CAN,Male,1:00:38|2:11:56,Half|Full,2,3.7730291815127415,45,26743149
CARI HUGHES,2272.9030688,50.50895708444444,171.30305555555557,3.8067345679012345,23.266666666666666,0.0,59.49916666666667,Cari Hughes,GBR,Female,4:06.17|15:19.81,1500m|5000m,2,4.52205088480073,45,55975379
CARINA VILJOEN,392.0191306,8.711536235555554,40.53138888888889,0.9006975308641976,2.216666666666667,0.0,7.167222222222222,Carina Viljoen,RSA,Female,4:09.47,1500m,1,6.203481267894363,45,13433736
CARLA GALLARDO,4257.4124096,94.60916465777775,320.3222222222222,7.118271604938271,0.0,0.0,0.0,Carla Gallardo,ESP,Female,15:27.70,5000m,1,4.5143226646297725,45,94997060
CARLEE HANSEN,22.0640514,0.4903122533333333,1.9866666666666668,0.0441481481481481,0.0,0.0,0.0,Carlee Hansen,USA,Female,4:11.02,1500m,1,5.4024529692674665,45,25386511
CARMEN GRAVES,3838.4046472,85.29788104888888,304.1352777777778,6.758561728395062,0.0,0.0,0.0,Carmen Graves,USA,Female,9:42.26|15:32.41,3000m Steeple|5000m,2,4.754088832186601,45,13603477
CARSON WILLIAMS,3510.4050618,78.00900137333333,249.30277777777775,5.540061728395061,1.0980555555555558,0.0,0.0,Carson Williams,USA,Male,3:38.98|8:27.14,1500m|3000m Steeple,2,4.261094205178902,45,87287379
CARTER FITZGERALD,323.960142,7.199114266666667,48.93,1.0873333333333333,0.0,0.0,19.17972222222222,Carter Fitzgerald,USA,Male,1:47.25,800m,1,9.062225932719834,45,12527724
CASEY COMBER,4245.036585,94.33414633333334,309.7836111111111,6.88408024691358,0.75,0.0,0.0,Casey Comber,USA,Male,3:36.35,1500m,1,4.378529205695095,45,46880353
CHAMAR CHAMBERS,624.4400134,13.876444742222224,59.36638888888889,1.3192530864197531,0.0,0.0,0.0,Chamar Chambers,PAN,Male,1:45.27,800m,1,5.70428424972123,45,60337129
CHANDLER GIBBENS,4944.3913754000005,109.8753638977778,329.0058333333333,7.3112407407407405,10.79138888888889,0.0,0.0,Chandler Gibbens,USA,Male,28:12.14,10000m,1,3.9924731885535674,45,35680056
CHARLES PHILIBERT-THIBOUTOT,533.41,10.26,33.44,0.64,0.0,0.0,0.0,Charles Philibert-Thiboutot,CAN,Male,3:33.29|27:54.66,1500m|10000m,2,3.76,52,7327132
CHARLES WHEELER,269.6288236,5.991751635555555,21.412222222222223,0.4758271604938272,197.75333333333333,0.0,0.0,Charles Wheeler,GBR,Male,13:20.17|28:04.89,5000m|10000m,2,4.764821936245445,45,7677443
CHARLIE SWEENEY,4951.7943394,110.0398742088889,363.28027777777777,8.072895061728396,0.0,0.0,0.0,Charlie Sweeney,USA,Male,2:12:23,Full,1,4.401801684943916,45,22399704
CHARLOTTE PURDUE,646.35,12.43,42.39,0.82,1.53,0.0,0.0,Charlotte Purdue,GBR,Female,1:08:02,Half,1,3.94,52,4483415
CHRISTIAN JACKSON,543.0556896,12.067904213333334,56.17722222222222,1.2483827160493826,18.388055555555557,0.0,0.0,Christian Jackson,USA,Male,1:47.43,800m,1,6.206791306829047,45,81890092
CHRISTIAN NOBLE,14.8381148,0.3297358844444444,0.7736111111111111,0.0171913580246913,0.0,0.0,0.0,Christian Noble,USA,Male,3:37.84|8:27.75,1500m|3000m Steeple,2,3.1282051185280406,45,38210378
CHRISTIAN PATZKA,2201.6414936,48.92536652444445,149.6913888888889,3.3264753086419754,0.0,0.0,15.304722222222225,Christian Patzka,USA,Male,8:31.89,3000m Steeple,1,4.079448611157541,45,46054215
CILLIAN KIRWAN,2217.5578662,49.27906369333333,172.93472222222223,3.842993827160494,0.2016666666666666,0.0,0.7152777777777778,Cillian Kirwan,IRL,Male,1:45.75,800m,1,4.67905865794328,45,53067537
CJ SINGLETON,5087.8318496,113.06292999111112,349.1302777777778,7.758450617283951,0.0,0.0,0.0,Cj Singleton,USA,Male,8:27.46,3000m Steeple,1,4.117238400540607,45,49947604
CLAYTON MURPHY,1367.69,30.39311111111111,106.55972222222222,2.3679938271604937,0.7602777777777778,0.0,13.101666666666668,Clayton Murphy,USA,Male,1:44.80,800m,1,4.674731359689208,45,41072820
CLAYTON YOUNG,3915.0736048,87.00163566222221,271.17805555555555,6.026179012345679,0.0,0.0,3.933333333333333,Clayton Young,USA,Male,2:08:44,Full,1,4.15590739172438,45,23295862
COLE SPROUT,5032.39,96.78,330.49,6.36,0.52,0.0,0.0,Cole Sprout,USA,Male,13:30.37|28:17.69,5000m|10000m,2,3.94,52,6296853
COLIN BENNIE,5668.6909358,125.97090968444444,397.8994444444445,8.84220987654321,0.0,0.0,2.3,Colin Bennie,USA,Male,2:12:17,Full,1,4.211548475132632,45,32464862
COLLINS KEMBOI,1297.02,28.822666666666667,104.02222222222224,2.311604938271605,52.07972222222222,0.0,5.653611111111111,Collins Kemboi,KEN,Male,2:10:52,Full,1,4.812056354823622,45,119258265
CONNER MANTZ,4849.585156,107.76855902222222,327.21,7.271333333333333,0.0,0.0,0.0,Conner Mantz,USA,Male,28:00.90|2:08:12,10000m|Full,2,4.048305034031657,45,33993248
CONOR MURPHY,2270.5695258,50.457100573333335,155.4138888888889,3.453641975308642,0.0,0.0,0.0,Conor Murphy,IRL,Male,1:46.95,800m,1,4.1068257225234595,45,58262623
CORENTIN LE CLEZIO,1964.4086842,43.65352631555555,138.07944444444445,3.0684320987654323,0.0,0.0,3.2,Corentin Le Clezio,FRA,Male,1:44.25|3:39.27,800m|1500m,2,4.217435370400338,45,23682243
CRAIG ENGELS,43.03,0.9562222222222222,2.783333333333333,0.0618518518518518,0.0,0.0,0.0,Craig Engels,USA,Male,1:46.86|3:34.21,800m|1500m,2,3.881013246572159,45,31259127
CRISTHIAN ZAMORA,821.2140152,18.249200337777776,46.40027777777778,1.0311172839506173,0.0,0.0,0.0,Cristhian Zamora,URU,Male,1:02:03|2:13:22,Half|Full,2,3.390123177560045,45,40310033
DAIKI HATTORI,1529.919071,33.99820157777778,129.22583333333333,2.8716851851851852,0.0,0.0,0.0,Daiki Hattori,JPN,Male,1:00:49,Half,1,5.067947806501981,45,36047007
DAMIEN DILCHER,1343.396565,29.853257,93.00222222222222,2.0667160493827157,0.0,0.0,0.0,Damien Dilcher,USA,Male,3:38.85,1500m,1,4.153749889432934,45,58635794
DAN KIBET,620.2074492,13.78238776,48.32833333333333,1.073962962962963,1.3,0.0,4.269166666666667,Dan Kibet,UGA,Male,13:24.64,5000m,1,4.675371125806851,45,30928604
DANIEL ARCE,71.89,1.5975555555555556,7.521388888888889,0.1671419753086419,15.966666666666669,0.0,2.1486111111111112,Daniel Arce,ESP,Male,8:08.45|13:29.47,3000m Steeple|5000m,2,6.277414568553809,45,8112897
DANIEL MICHALSKI,4556.1059136,101.24679808,328.17527777777775,7.292783950617284,3.224166666666666,0.0,20.648611111111112,Daniel Michalski,USA,Male,8:28.07,3000m Steeple,1,4.321786420260857,45,54593767
DANIEL SIMMONS,35.4376668,0.7875037066666667,2.3475,0.0521666666666666,0.0,0.0,0.0,Daniel Simmons,USA,Male,13:25.86,5000m,1,3.97458446671777,45,24166694
DANIELLE JONES,1234.9431424,27.44318094222222,132.16583333333332,2.9370185185185185,0.0,0.0,140.2475,Danielle Jones,USA,Female,2:01.49|4:00.64,800m|1500m,2,6.421307773399884,45,19613002
DAVID MULLARKEY,4048.214303,89.96031784444445,276.7463888888889,6.14991975308642,0.0,0.0,0.0,David Mullarkey,GBR,Male,13:28.23,5000m,1,4.101755018509783,45,107373064
DAVIS BOVE,3451.5032178,76.70007150666667,240.745,5.349888888888889,41.81583333333333,0.0,0.0,Davis Bove,USA,Male,3:35.35,1500m,1,4.185046076592419,45,10318023
DENNIS KIPKURUI,954.4834606,21.210743568888887,62.1725,1.3816111111111111,0.0,0.0,0.0,Dennis Kipkurui,KEN,Male,27:45.16|1:02:02,10000m|Half,2,3.908239538959697,45,130452405
DEREK HOLDSWORTH,2561.908346,56.93129657777778,176.26777777777778,3.917061728395062,11.009166666666667,0.0,5.849722222222222,Derek Holdsworth,USA,Male,1:47.37,800m,1,4.128198685631928,45,110408620
DEREK JOHNSON,0.0,0.0,0.0,0.0,2.3205555555555555,0.0,3.4505555555555554,Derek Johnson,USA,Male,3:38.50|8:20.90,1500m|3000m Steeple,2,,45,8841155
DILLAN VAN ROOYEN,1430.9124742,31.79805498222222,123.92083333333332,2.7537962962962963,0.0,0.0,0.0,Dillan Van Rooyen,RSA,Male,1:47.40,800m,1,5.1961598868281085,45,58940900
DILLON MAGGARD,7798.56,149.97,554.06,10.66,0.0,0.0,0.0,Dillon Maggard,USA,Male,3:37.26|13:22.94|27:47.60,1500m|5000m|10000m,3,4.26,52,5665278
DINA ALEKSANDROVA,2843.5911262,63.190913915555555,230.89416666666668,5.130981481481482,0.0,0.0,0.0,Dina Aleksandrova,RUS,Female,2:29:00,Full,1,4.871885367891538,45,49265326
DJILALI BEDRANI,3439.4331678,76.43184817333334,266.9661111111111,5.93258024691358,3.5122222222222224,0.0,0.0,Djilali Bedrani,FRA,Male,3:36.41|8:13.73,1500m|3000m Steeple,2,4.6571530497022,45,34492691
DUNCAN HAMILTON,1521.91,29.27,105.38,2.03,1.38,0.0,0.0,Duncan Hamilton,USA,Male,3:36.69|8:13.76,1500m|3000m Steeple,2,4.15,52,2688671
DUNCAN PERRILLAT,3081.3711112,68.47491358222223,226.6838888888889,5.03741975308642,123.86583333333331,0.0,0.0,Duncan Perrillat,FRA,Male,2:13:05,Full,1,4.413954970856006,45,66783639
EDWIN KIPTOO,438.763042,9.75028982222222,41.06277777777778,0.9125061728395064,0.0,0.0,15.394444444444444,Edwin Kiptoo,KEN,Male,1:01:24|2:06:10|2:13:35,Half|Full,3,5.61525568661425,45,93911299
EILISH MCCOLGAN,1014.3991888,22.542204195555556,67.87416666666667,1.5083148148148149,0.0,0.0,0.4036111111111111,Eilish Mccolgan,GBR,Female,31:20.51|1:09:14,10000m|Half,2,4.014642406031072,45,21880851
ELIAS NGENY,2186.851659,48.59670353333333,204.39638888888888,4.542141975308642,0.0,0.0,3.5700000000000003,Elias Ngeny,KEN,Male,1:44.79,800m,1,5.6079630654697885,45,61941233
